tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0600010408400,06001408400,G0600010408400,06001408400,1,1,1,1,1,1,1,1
G0600010408500,06001408500,G0600010408500,06001408500,1,1,1,1,1,1,1,1
G0600010408600,06001408600,G0600010408600,06001408600,0.9980375771,1,1,1,1,1,1,1
G0600010408600,06001408600,G0600010408700,06001408700,0.0019624229,0,0,0,0,0,0,0
G0600010408700,06001408700,G0600010408700,06001408700,1,1,1,1,1,1,1,1
G0600010408800,06001408800,G0600010408800,06001408800,0.9793357756,1,1,1,1,0.9994837377,1,1
G0600010408800,06001408800,G0600010408900,06001408900,0.0206642244,0,0,0,0,0.0005162623,0,0
G0600010408900,06001408900,G0600010408900,06001408900,1,1,1,1,1,1,1,1
G0600010409000,06001409000,G0600010409000,06001409000,0.9973422231,1,1,1,1,1,1,1
G0600010409000,06001409000,G0600010428301,06001428301,0.0003012874,0,0,0,0,0,0,0
G0600010409000,06001409000,G0600010432400,06001432400,0.0023564894,0,0,0,0,0,0,0
G0600010409100,06001409100,G0600010409100,06001409100,1,1,1,1,1,1,1,1
G0600010409200,06001409200,G0600010409200,06001409200,0.9762496613,0.9833870863,0.9830604386,0.9817662578,0.9830210712,0.9818386929,0.9796066345,0.9875107726
G0600010409200,06001409200,G0600010432300,06001432300,0.0094205022,0.0014306505,0.0013727479,0.0014974476,0.0014160942,0.0015427374,0.0016544719,0.0011026473
G0600010409200,06001409200,G0600010432502,06001432502,0.0143298365,0.0151822632,0.0155668136,0.0167362946,0.0155628346,0.0166185697,0.0187388936,0.0113865801
G0600010409300,06001409300,G0600010409300,06001409300,0.9991652282,0.9979773229,0.998090781,0.9969566144,0.9976528889,0.9978396971,0.9996251475,0.9961982896
G0600010409300,06001409300,G0600010432300,06001432300,0.0008347718,0.0020226771,0.001909219,0.0030433856,0.0023471111,0.0021603029,0.0003748525,0.0038017104
G0600010409400,06001409400,G0600010409400,06001409400,1,1,1,1,1,1,1,1
G0600010409500,06001409500,G0600010409500,06001409500,1,1,1,1,1,1,1,1
G0600010409600,06001409600,G0600010409600,06001409600,1,1,1,1,1,1,1,1
G0600010409700,06001409700,G0600010409700,06001409700,1,1,1,1,1,1,1,1
G0600010409800,06001409800,G0600010409800,06001409800,1,1,1,1,1,1,1,1
G0600010409900,06001409900,G0600010409900,06001409900,0.9618592699,1,1,1,1,1,1,1
G0600010409900,06001409900,G0600010430102,06001430102,0.0381407301,0,0,0,0,0,0,0
G0600010410000,06001410000,G0600010410000,06001410000,0.9563770002,0.9984680816,0.9983894488,0.9985332696,0.9981839867,0.9982013463,0.9981792321,0.9982162594
G0600010410000,06001410000,G0600010410100,06001410100,0.003609939,0,0,0,0,0,0,0
G0600010410000,06001410000,G0600010430102,06001430102,0.0309213952,0,0,0,0,0,0,0
G0600010410000,06001410000,G0600010430400,06001430400,0.0008845857,0.0003144767,0.0003306187,0.0003010947,0.0003727966,0.0003692329,0.0003737726,0.0003661715
G0600010410000,06001410000,G0600010432100,06001432100,0.0076222565,0,0,0,0,0,0,0
G0600010410000,06001410000,G0600010432800,06001432800,0.0005848233,0.0012174417,0.0012799325,0.0011656357,0.0014432168,0.0014294208,0.0014469954,0.0014175691
G0600010410100,06001410100,G0600010410100,06001410100,1,1,1,1,1,1,1,1
G0600010410200,06001410200,G0600010410200,06001410200,1,1,1,1,1,1,1,1
G0600010410300,06001410300,G0600010410300,06001410300,1,1,1,1,1,1,1,1
G0600010410400,06001410400,G0600010410400,06001410400,1,1,1,1,1,1,1,1
G0600010410500,06001410500,G0600010402200,06001402200,0.0105344959,0,0,0,0,0,0,0
G0600010410500,06001410500,G0600010410500,06001410500,0.9894655041,1,1,1,1,1,1,1
G0600010420100,06001420100,G0600010420100,06001420100,0.9971295286,0.9997888676,0.9997558439,0.9998125125,0.9997480321,0.999758372,0.9996541769,1
G0600010420100,06001420100,G0600130389100,06013389100,0.0028704714,0.0002111324,0.0002441561,0.0001874875,0.0002519679,0.000241628,0.0003458231,0
G0600010420200,06001420200,G0600010420100,06001420100,0.0084859135,0,0,0,0,0,0,0
G0600010420200,06001420200,G0600010420200,06001420200,0.9915140865,1,1,1,1,1,1,1
G0600010420300,06001420300,G0600010420301,06001420301,0.3187274031,0.5091007048,0.5196971916,0.5106585953,0.5185704286,0.5201931414,0.6057206841,0.4234390444
G0600010420300,06001420300,G0600010420302,06001420302,0.6672162134,0.483701597,0.4729352679,0.4821272886,0.4740815299,0.4724299065,0.3857280617,0.5705263158
G0600010420300,06001420300,G0600010420402,06001420402,0.000961579,0,0,0,0,0,0,0
G0600010420300,06001420300,G0600130380001,06013380001,0.0008618938,0,0,0,0,0,0,0
G0600010420300,06001420300,G0600130382000,06013382000,0.0031929944,0,0,0,0,0,0,0
G0600010420300,06001420300,G0600130383000,06013383000,0.0055923411,0.0003973835,0.0004067605,0.0003982899,0.0004056839,0.0004072801,0.000472113,0.0003331713
G0600010420300,06001420300,G0600130389200,06013389200,0.0034475752,0.0068003146,0.0069607801,0.0068158262,0.0069423576,0.006969672,0.0080791411,0.0057014686
G0600010420400,06001420400,G0600010420302,06001420302,0.0000018063,0,0,0,0,0,0,0
G0600010420400,06001420400,G0600010420401,06001420401,0.1753893507,0.4033290653,0.3689936537,0.3957219251,0.3702010969,0.3873417722,0,0.3708791209
